"Player Name",Role,Nationality,"Base Price (CR)","Rating (Out of 10)","Matches Played","Total Runs","Total Wickets"
"Harshal Patel",Bowler,Indian,1.0,7.0,90,250,115
"Ish Sodhi",Batsman,Overseas,2.0,7.0,82,1084,2
"Ishan Kishan",Wicket-Keeper,Indian,1.0,7.0,80,2300,0
"Krunal Pandya",All-Rounder,Indian,1.0,7.0,115,1500,75
"Kwena Maphaka",Bowler,Overseas,1.0,7.0,40,173,58
"Mohit Sharma",Bowler,Indian,0.5,7.0,100,150,120
"Mustafizur Rahman",Bowler,Overseas,1.0,7.0,55,30,58
"Phil Salt",Wicket-Keeper,Overseas,1.0,7.0,15,400,0
"Rachin Ravindra",All-Rounder,Overseas,1.0,7.0,14,222,0
"Rahul Tewatia",All-Rounder,Indian,2.0,7.0,45,1742,51
"Sai Sudharsan",Batsman,Indian,0.5,7.0,25,900,0
"Sandeep Sharma",Bowler,Indian,0.5,7.0,115,100,130
"Shardul Thakur",All-Rounder,Indian,1.0,7.0,80,400,65
"Venkatesh Iyer",All-Rounder,Indian,0.5,7.0,40,1100,3
"Dilshan Madushanka",All-Rounder,Overseas,0.5,6.9,114,1620,35
"Eoin Morgan",All-Rounder,Overseas,1.0,6.9,56,2250,68
"Obed McCoy",Bowler,Overseas,0.5,6.9,54,428,84
"Anuj Rawat",Wicket-Keeper,Indian,1.5,6.8,139,824,0
"Jaydev Unadkat",Batsman,Indian,1.5,6.8,14,1408,5
"Mahipal Lomror",Bowler,Indian,0.5,6.8,64,490,118
"Reece Topley",Batsman,Overseas,1.0,6.8,31,2982,4
"Vicky Ostwal",All-Rounder,Indian,1.0,6.8,109,2439,52
"Colin Munro",Batsman,Overseas,2.0,6.7,57,2179,2
"Liam Plunkett",Bowler,Overseas,0.5,6.7,148,481,147
"Lungi Ngidi",Bowler,Overseas,1.5,6.7,46,21,92
"Matt Henry",Batsman,Overseas,1.5,6.7,87,571,1
"T Natarajan",Bowler,Indian,2.0,6.7,122,408,73
"Glenn Phillips",Batsman,Overseas,1.0,6.6,47,3222,3
"Ishant Sharma",Bowler,Indian,2.0,6.6,148,253,142
"Martin Guptill",Bowler,Overseas,1.5,6.6,112,152,132
"Tom Curran",Batsman,Overseas,2.0,6.6,29,3975,4
"Alex Hales",Bowler,Overseas,2.0,6.5,34,416,113
"Avesh Khan",Bowler,Indian,0.5,6.5,50,40,60
"Devdutt Padikkal",Batsman,Indian,0.5,6.5,55,1500,0
"Jitesh Sharma",Wicket-Keeper,Indian,0.5,6.5,35,2257,0
"Maheesh Theekshana",Bowler,Overseas,1.5,6.5,69,56,147
"Marco Jansen",Bowler,Overseas,0.5,6.5,20,150,20
"Nitish Rana",Batsman,Indian,0.75,6.5,105,2600,10
"Rahul Chahar",Bowler,Indian,0.5,6.5,75,430,148
"Rahul Tripathi",Batsman,Indian,0.75,6.5,95,2200,0
"Umran Malik",Bowler,Indian,0.5,6.5,25,20,30
"Washington Sundar",All-Rounder,Indian,1.0,6.5,60,400,38
"Chetan Sakariya",Batsman,Indian,1.5,6.4,14,1044,0
"Ambati Rayudu",Bowler,Indian,0.5,6.3,113,223,30
"Fazalhaq Farooqi",Bowler,Overseas,1.5,6.3,28,38,103
"Mayank Markande",Batsman,Indian,2.0,6.3,116,1196,3
"Dushmantha Chameera",Batsman,Overseas,1.5,6.2,84,1502,4
"Mujeeb Ur Rahman",Batsman,Overseas,0.5,6.2,29,661,2
"Prerak Mankad",Batsman,Indian,1.0,6.2,85,1644,3
"Srikar Bharat",Wicket-Keeper,Indian,1.0,6.2,126,2680,0
"Joe Root",Batsman,Overseas,2.0,6.1,30,3562,3
"Kedar Jadhav",Batsman,Indian,2.0,6.1,123,2888,0
"Shoriful Islam",Batsman,Overseas,1.5,6.1,136,452,4
"Umesh Yadav",Bowler,Indian,1.5,6.1,147,196,87
"Wayne Parnell",Batsman,Overseas,1.0,6.1,85,3280,4
"Prithvi Shaw",Batsman,Indian,0.5,6.0,75,1800,0
"Shreyas Gopal",Batsman,Indian,2.0,6.0,104,987,4
"Tushar Deshpande",Bowler,Indian,0.2,6.0,25,25,25
"Nuwan Thushara",Batsman,Overseas,1.5,5.9,114,3888,0
"Chris Woakes",Batsman,Overseas,0.5,5.8,148,206,3
"Deepak Chahar",Bowler,Indian,0.5,5.8,128,351,19
"Khaleel Ahmed",Bowler,Indian,0.5,5.8,83,154,96
"Shimron Hetmyer",Bowler,Overseas,1.0,5.8,125,130,68
"Wanindu Hasaranga",Bowler,Overseas,1.0,5.8,48,33,22
"Aiden Markram",Bowler,Overseas,1.0,5.7,35,152,95
"Dawid Malan",Bowler,Overseas,1.0,5.7,112,50,139
"Karn Sharma",Bowler,Indian,1.5,5.7,89,94,96
Naveen-ul-Haq,Bowler,Overseas,2.0,5.7,137,162,115
"Robin Uthappa",Batsman,Indian,1.5,5.7,122,1640,2
"Odean Smith",Batsman,Overseas,2.0,5.6,141,779,1
"Mukesh Kumar",Bowler,Indian,0.5,5.5,15,10,12
"Shivam Mavi",Batsman,Indian,0.5,5.5,57,238,1
"Ayush Badoni",Batsman,Indian,0.2,5.0,30,450,2
"Dhruv Jurel",Wicket-Keeper,Indian,0.2,5.0,15,200,0
"Prabhsimran Singh",Wicket-Keeper,Indian,0.2,5.0,25,500,0
"Abhinav Manohar",Batsman,Indian,0.2,4.5,15,250,0
"Akash Madhwal",Bowler,Indian,0.2,4.5,10,5,15
"Harshit Rana",Bowler,Indian,0.2,4.5,10,20,12
"Nehal Wadhera",Batsman,Indian,0.2,4.5,15,250,0
"Suyash Sharma",Bowler,Indian,0.2,4.5,12,5,10
"Yash Thakur",Bowler,Indian,0.2,4.5,15,10,18
"Kartik Tyagi",Bowler,Indian,0.2,4.0,20,15,15
"Mayank Dagar",All-Rounder,Indian,0.2,4.0,10,50,5
"Ramandeep Singh",All-Rounder,Indian,0.2,4.0,12,150,6
"Vaibhav Arora",Bowler,Indian,0.2,4.0,15,15,15
"Hrithik Shokeen",Bowler,Indian,0.2,3.5,10,40,5
"Vivrant Sharma",All-Rounder,Indian,0.2,3.5,5,80,2
