"Player Name",Role,Nationality,"Base Price (CR)","Matches Played","Total Runs","Total Wickets"
"Shikhar Dhawan",Batsman,Indian,1.5,222,13538,8
"Kartik Tyagi",Bowler,Indian,0.2,34,48,66
"Abishek Porel",Wicket-Keeper,Indian,1.0,34,1538,0
"Doug Bollinger",Bowler,Overseas,0.5,92,155,62
"Rahul Tewatia",All-Rounder,Indian,2.0,106,2604,64
"Sheldon Cottrell",Bowler,Overseas,0.5,62,156,51
"Corey Anderson",All-Rounder,Overseas,1.5,73,415,50
"Riley Meredith",Bowler,Overseas,1.0,16,50,22
Sreesanth,Bowler,Indian,1.0,71,281,58
"Travis Head",Batsman,Overseas,1.5,20,600,2
"Vaibhav Arora",Bowler,Indian,0.2,15,15,15
"Tim Southee",Bowler,Overseas,0.5,95,59,146
"Basil Thampi",Bowler,Indian,1.5,26,64,44
"Nehal Wadhera",Batsman,Indian,0.2,38,1568,0
"Ben Stokes",All-Rounder,Overseas,2.0,110,2159,78
"Chama Milind",Bowler,Indian,0.5,108,82,93
"Obed McCoy",Bowler,Overseas,0.5,54,428,84
"Ishant Sharma",Bowler,Indian,2.0,118,114,192
"Andrew Tye",Bowler,Overseas,0.5,50,249,42
"Odean Smith",Batsman,Overseas,2.0,141,779,1
"Mitchell Johnson",Bowler,Overseas,2.0,112,140,108
"Abhishek Nayar",All-Rounder,Indian,1.0,25,1946,82
"Daryl Mitchell",Batsman,Overseas,2.0,120,3329,1
"Morne Morkel",Bowler,Overseas,0.5,71,252,154
"Lasith Malinga",Bowler,Overseas,2.0,122,88,170
"Manpreet Gony",Bowler,Indian,2.0,101,127,28
"Ashish Nehra",Bowler,Indian,1.5,89,82,212
"R. Sai Kishore",Bowler,Indian,0.5,38,41,24
"Sheldon Jackson",Bowler,Indian,0.5,90,376,106
"Chris Gayle",Batsman,Overseas,2.0,142,4965,18
"Ishan Kishan",Wicket-Keeper,Indian,1.0,128,7200,0
"Romario Shepherd",Batsman,Overseas,1.0,32,536,34
"Evin Lewis",Batsman,Overseas,0.5,27,1308,0
"Jacques Kallis",All-Rounder,Overseas,2.0,98,2427,65
"Darshan Nalkande",Bowler,Indian,1.0,58,133,70
"Mitchell Starc",Bowler,Overseas,2.0,30,100,35
"Yuvraj Singh",All-Rounder,Indian,2.0,130,5508,72
"Shivam Dube",All-Rounder,Indian,1.0,89,4258,12
"Vidwath Kaverappa",Bowler,Indian,1.5,2,0,4
"Gulbadin Naib",Batsman,Overseas,1.5,3,38,0
"Donovan Ferreira",All-Rounder,Overseas,1.0,17,652,2
"Will Jacks",All-Rounder,Overseas,0.5,44,874,53
"Ashutosh Sharma",Bowler,Indian,0.5,27,1128,0
"Mayank Yadav",Bowler,Indian,0.2,3,0,7
"Adil Rashid",Bowler,Overseas,0.5,120,239,23
"Jofra Archer",Bowler,Overseas,2.0,40,195,48
"Scott Styris",All-Rounder,Overseas,1.0,28,1833,88
"Sanju Samson",Wicket-Keeper,Indian,1.5,160,4200,0
"Gautam Gambhir",Batsman,Indian,1.5,152,8434,0
"Urvil Patel",Batsman,Indian,0.5,11,394,0
"Krunal Pandya",All-Rounder,Indian,1.0,115,1500,75
"Shakib Al Hasan",All-Rounder,Overseas,2.0,72,1590,126
"Suyash Prabhudessai",Batsman,Indian,1.5,43,903,0
"Wayne Parnell",Batsman,Overseas,1.0,85,3280,4
"Joe Root",Batsman,Overseas,2.0,30,3562,3
"Shreyas Gopal",Batsman,Indian,2.0,52,360,104
"Sam Curran",All-Rounder,Overseas,1.5,40,500,40
"Noor Ahmad",Bowler,Overseas,1.5,52,62,122
"Shivalik Sharma",Batsman,Indian,1.0,42,1301,0
"Rachin Ravindra",All-Rounder,Overseas,1.0,19,826,0
"Ricky Bhui",Batsman,Indian,1.0,70,333,5
"Mayank Dagar",All-Rounder,Indian,0.2,9,0,4
"Ross Taylor",Batsman,Overseas,0.5,100,2998,0
"Lalit Yadav",Batsman,Indian,0.5,26,610,20
"Pawan Negi",All-Rounder,Indian,1.0,47,730,68
"Devon Conway",Bowler,Overseas,1.5,19,457,147
"Shahbaz Ahmed",All-Rounder,Indian,1.5,59,1206,54
"Angelo Mathews",All-Rounder,Overseas,0.5,45,764,68
"Prerak Mankad",Batsman,Indian,1.0,85,1644,3
"Ryan ten Doeschate",All-Rounder,Overseas,1.0,27,1691,75
"Sachin Tendulkar",Batsman,Indian,2.0,78,2334,0
"Shaun Marsh",Batsman,Overseas,2.0,71,2477,0
"Lockie Ferguson",Bowler,Overseas,2.0,59,234,137
"Matt Short",All-Rounder,Overseas,0.5,50,427,21
"Sunil Narine",All-Rounder,Overseas,1.5,170,1500,175
"Avanish Rao Aravelly",Batsman,Indian,0.5,10,200,0
"Paul Valthaty",All-Rounder,Indian,1.0,56,456,71
"Rassie van der Dussen",Batsman,Overseas,2.0,51,2245,2
"Shahbaz Nadeem",Bowler,Indian,1.0,72,78,96
"Amit Mishra",Bowler,Indian,1.0,163,762,348
"Baltej Singh",Bowler,Indian,1.0,115,31,75
"Ruturaj Gaikwad",Batsman,Indian,1.0,60,2000,0
"Mayank Agarwal",Batsman,Indian,2.0,81,3312,0
"Irfan Pathan",All-Rounder,Indian,1.0,66,935,32
"Adam Gilchrist",Wicket-Keeper,Overseas,2.0,80,2069,0
"Sam Billings",Wicket-Keeper,Overseas,1.5,132,3079,0
"Ajantha Mendis",Bowler,Overseas,2.0,107,36,120
"James Faulkner",All-Rounder,Overseas,2.0,99,1498,26
"Moeen Ali",All-Rounder,Overseas,1.5,45,1448,67
"Nicholas Pooran",Wicket-Keeper,Overseas,2.0,101,5054,0
"Anuj Rawat",Wicket-Keeper,Indian,1.5,22,636,0
"Upendra Yadav",Batsman,Indian,1.5,74,1031,4
"Milind Kumar",Batsman,Indian,1.0,39,2714,0
"Ravi Bishnoi",Bowler,Indian,1.0,86,90,166
"Aryan Juyal",Batsman,Indian,0.5,10,200,0
"Baba Aparajith",All-Rounder,Indian,2.0,104,1821,53
"Abhishek Sharma",Batsman,Indian,0.5,93,4758,22
"Mujeeb Ur Rahman",Batsman,Overseas,0.5,21,24,40
"Dwayne Bravo",All-Rounder,Overseas,1.0,86,1192,49
"Azmatullah Omarzai",All-Rounder,Overseas,1.5,19,302,30
"Devdutt Padikkal",Batsman,Indian,0.5,90,4540,0
"Abhinav Manohar",Batsman,Indian,0.2,21,584,0
"Harshit Rana",Bowler,Indian,0.2,33,118,80
"Moises Henriques",All-Rounder,Overseas,1.0,79,1765,75
"Rajat Bhatia",All-Rounder,Indian,1.0,95,684,142
"Mitchell Marsh",All-Rounder,Overseas,1.5,40,700,38
"Colin Munro",Batsman,Overseas,2.0,13,354,0
"Dwayne Smith",All-Rounder,Overseas,2.0,95,1727,49
"Avesh Khan",Bowler,Indian,0.5,83,136,186
"Mayank Markande",Batsman,Indian,2.0,41,96,74
"Bhanuka Rajapaksa",All-Rounder,Overseas,2.0,97,558,56
"Dasun Shanaka",All-Rounder,Overseas,1.0,148,1735,44
"Suresh Raina",Batsman,Indian,2.0,205,5528,25
"Akeal Hosein",Batsman,Overseas,2.0,135,1395,3
"Kamlesh Nagarkoti",Batsman,Indian,1.0,127,2539,4
"Yuzvendra Chahal",Bowler,Indian,1.5,150,35,190
"Anil Kumble",Bowler,Indian,2.0,43,70,90
"Litton Das",Wicket-Keeper,Overseas,0.5,35,1429,0
"Yash Dhull",Batsman,Indian,1.5,16,1869,0
"Albie Morkel",All-Rounder,Overseas,0.5,22,425,55
"Jhye Richardson",Bowler,Overseas,1.0,58,140,13
"T Natarajan",Bowler,Indian,2.0,74,8,146
"Tristan Stubbs",Wicket-Keeper,Overseas,1.0,45,1972,8
"Murugan Ashwin",Bowler,Indian,1.0,45,70,70
"Shahrukh Khan",All-Rounder,Indian,1.0,57,459,49
"Glenn Maxwell",All-Rounder,Overseas,2.0,110,2500,30
"David Hussey",All-Rounder,Overseas,1.0,114,583,65
"Dushmantha Chameera",Batsman,Overseas,1.5,84,1502,4
"Vicky Ostwal",All-Rounder,Indian,1.0,109,2439,52
"Harbhajan Singh",Bowler,Indian,2.0,164,1666,300
"Arshdeep Singh",Bowler,Indian,1.0,96,64,222
"Luke Wood",Bowler,Overseas,1.0,3,18,2
"Shubman Gill",Batsman,Indian,2.0,131,9196,0
"Vishnu Vinod",Bowler,Indian,1.5,8,142,0
"Bhuvneshwar Kumar",Bowler,Indian,1.5,207,708,452
"Aman Khan",Batsman,Indian,0.5,10,200,0
"Swastik Chikara",Batsman,Indian,0.5,10,200,0
"Navdeep Saini",All-Rounder,Indian,1.0,6,4,12
"Arshad Khan",All-Rounder,Indian,0.5,25,284,36
"Hrithik Shokeen",Bowler,Indian,0.2,10,40,5
"Anmolpreet Singh",Batsman,Indian,0.5,10,278,0
"Yashasvi Jaiswal",Batsman,Indian,1.0,45,1400,0
"Hardik Pandya",All-Rounder,Indian,2.0,120,2200,55
"Pravin Tambe",Bowler,Indian,2.0,21,291,69
"Harpreet Brar",Batsman,Indian,0.5,49,498,74
"MS Dhoni",Wicket-Keeper,Indian,2.0,242,10878,0
"Heinrich Klaasen",Wicket-Keeper,Overseas,1.5,61,4208,0
"Rajat Patidar",Batsman,Indian,0.5,27,799,0
"Tymal Mills",Bowler,Overseas,2.0,87,169,83
"Cameron Green",All-Rounder,Overseas,2.0,44,2058,46
"Nandre Burger",All-Rounder,Overseas,1.0,19,28,42
"Kumar Kartikeya",Bowler,Indian,1.0,17,24,24
"Sandeep Warrier",Bowler,Indian,2.0,54,52,72
"Taskin Ahmed",All-Rounder,Indian,1.5,66,1566,25
"Mahela Jayawardene",Batsman,Overseas,1.5,61,3281,0
"Duan Jansen",Bowler,Overseas,1.5,2,0,2
"Chetan Sakariya",Batsman,Indian,1.5,21,40,40
"Mitchell McClenaghan",Bowler,Overseas,1.0,64,40,97
"Rahul Chahar",Bowler,Indian,0.5,75,430,148
"Daniel Vettori",Bowler,Overseas,2.0,113,102,47
"Glenn Phillips",Batsman,Overseas,1.0,47,3222,3
"Vinay Kumar",Bowler,Indian,2.0,63,270,53
"Pragyan Ojha",Bowler,Indian,1.0,56,58,102
"Robin Uthappa",Batsman,Indian,1.5,122,1640,2
"Carlos Brathwaite",All-Rounder,Overseas,1.5,109,553,68
"Atharva Taide",Batsman,Indian,0.5,11,520,0
"Herschelle Gibbs",Batsman,Overseas,1.0,19,663,0
"Matthew Hayden",Batsman,Overseas,2.0,32,1107,0
"Sameer Rizvi",Bowler,Indian,1.0,19,848,0
"Anureet Singh",Bowler,Indian,0.5,23,72,36
"Dale Steyn",Bowler,Overseas,2.0,95,166,97
"Praveen Kumar",Bowler,Indian,2.0,120,680,180
"Lance Morris",Bowler,Overseas,2.0,59,144,26
"Alzarri Joseph",Bowler,Overseas,1.5,28,83,115
"Prabhsimran Singh",Wicket-Keeper,Indian,0.2,25,500,0
"Rashid Khan",Bowler,Overseas,2.0,154,1270,358
"Darren Sammy",All-Rounder,Overseas,0.5,22,1707,49
"Phil Salt",Wicket-Keeper,Overseas,1.0,15,400,0
"Piyush Chawla",Bowler,Indian,0.5,73,133,48
"Liam Plunkett",Bowler,Overseas,0.5,148,481,147
"Baba Indrajith",Wicket-Keeper,Indian,2.0,4,42,0
"Matt Henry",Batsman,Overseas,1.5,87,571,1
"Harvik Desai",Batsman,Indian,0.5,10,200,0
"Nitish Kumar Reddy",All-Rounder,Indian,0.5,12,1169,58
Naveen-ul-Haq,Bowler,Overseas,2.0,18,36,50
"Rahul Tripathi",Batsman,Indian,0.75,95,2200,0
"Srikar Bharat",Wicket-Keeper,Indian,1.0,126,2680,0
"Marcus Stoinis",All-Rounder,Overseas,1.5,60,1300,20
"Tilak Varma",Batsman,Indian,0.5,66,3716,0
"Riyan Parag",Batsman,Indian,2.0,90,3758,18
"Kwena Maphaka",Bowler,Overseas,1.0,40,173,58
"Brad Hogg",Bowler,Overseas,0.5,26,298,47
"Colin de Grandhomme",All-Rounder,Overseas,0.5,59,460,61
"Liam Livingstone",All-Rounder,Overseas,1.5,35,900,10
"Iqbal Abdulla",All-Rounder,Indian,1.0,49,176,80
"Aditya Tare",Wicket-Keeper,Indian,2.0,84,3178,0
"Ashton Agar",All-Rounder,Overseas,1.0,34,483,52
"Luvnith Sisodia",Batsman,Indian,0.5,10,200,0
"David Warner",Batsman,Overseas,1.5,180,6500,0
"KL Rahul",Wicket-Keeper,Indian,2.0,150,11656,0
"Bipul Sharma",All-Rounder,Indian,0.5,30,374,34
"Muttiah Muralitharan",Bowler,Overseas,2.0,67,40,128
"Rohit Sharma",Batsman,Indian,2.0,45,132,80
"Manish Pandey",All-Rounder,Indian,1.5,114,1588,49
"Karn Sharma",Bowler,Indian,1.5,89,94,96
"Shivam Mavi",Batsman,Indian,0.5,33,102,60
"Kyle Mayers",All-Rounder,Overseas,0.5,67,1966,51
"Kyle Jamieson",Bowler,Overseas,1.0,16,61,26
"Fazalhaq Farooqi",Bowler,Overseas,1.5,13,10,12
"Nuwan Thushara",Batsman,Overseas,1.5,9,0,18
"Mohsin Khan",Bowler,Indian,0.5,31,50,76
"Mohammed Shami",Bowler,Indian,1.5,133,230,290
"Chris Morris",All-Rounder,Overseas,2.0,81,618,95
"Tom Curran",Batsman,Overseas,2.0,29,3975,4
"Jos Buttler",Wicket-Keeper,Overseas,2.0,90,3200,0
"Khaleel Ahmed",Bowler,Indian,0.5,83,154,96
"Tushar Deshpande",Bowler,Indian,0.2,25,25,25
"Sherfane Rutherford",Batsman,Overseas,0.5,16,3602,2
"Yash Thakur",Bowler,Indian,0.2,23,0,54
"Kane Williamson",Batsman,Overseas,0.5,147,1397,4
"Aiden Markram",Bowler,Overseas,1.0,35,152,95
"Kevon Cooper",All-Rounder,Overseas,1.5,120,1513,45
"Marlon Samuels",All-Rounder,Overseas,0.5,100,1375,54
"Brendon McCullum",Wicket-Keeper,Overseas,2.0,109,2880,0
"Imran Tahir",Bowler,Overseas,1.0,60,66,164
"Abdul Samad",Batsman,Indian,0.5,59,1718,4
"Jalaj Saxena",All-Rounder,Indian,1.0,100,793,27
"Nathu Singh",Bowler,Indian,2.0,111,242,78
"Jitesh Sharma",Wicket-Keeper,Indian,0.5,35,2257,0
"Priyam Garg",Batsman,Indian,0.5,10,200,0
"Jasprit Bumrah",Bowler,Indian,2.0,130,80,170
"Akash Deep",Bowler,Indian,1.0,15,50,20
"Ayush Badoni",Batsman,Indian,0.2,59,2356,8
"Kusal Mendis",Wicket-Keeper,Overseas,2.0,136,950,0
"Dawid Malan",Bowler,Overseas,1.0,112,50,139
"Mandeep Singh",Batsman,Indian,1.5,98,3412,0
"Sanvir Singh",Batsman,Indian,0.5,6,50,0
"Ajit Agarkar",Bowler,Indian,2.0,101,274,73
"Manan Vohra",Batsman,Indian,0.5,52,2166,0
"Axar Patel",All-Rounder,Indian,1.5,90,1200,70
"Sai Sudharsan",Batsman,Indian,0.5,25,900,0
"Mohit Sharma",Bowler,Indian,0.5,100,150,120
"Nathan Coulter-Nile",Bowler,Overseas,1.0,58,157,99
"Kedar Jadhav",Batsman,Indian,2.0,123,2888,0
"Bipin Saurabh",Batsman,Indian,0.5,10,200,0
"Harshal Patel",Bowler,Indian,1.0,90,250,115
"Vijay Shankar",All-Rounder,Indian,1.0,70,2466,18
"Joginder Sharma",All-Rounder,Indian,1.5,17,72,24
"Munaf Patel",Bowler,Indian,0.5,20,112,92
"Kagiso Rabada",Bowler,Overseas,1.5,102,524,302
"Nathan Ellis",Bowler,Overseas,0.5,10,238,24
"Jason Behrendorff",Bowler,Overseas,2.0,82,164,43
"Jason Holder",All-Rounder,Overseas,1.5,91,1688,42
"Unmukt Chand",Batsman,Indian,0.5,61,2168,0
"Mahipal Lomror",Bowler,Indian,0.5,64,490,118
"Mitchell Santner",All-Rounder,Overseas,1.5,123,1376,68
"Matheesha Pathirana",Bowler,Overseas,1.0,34,0,94
"CM Gautam",Wicket-Keeper,Indian,1.5,14,338,0
"Pravin Dubey",Batsman,Indian,0.5,6,46,4
"Dhruv Jurel",Wicket-Keeper,Indian,0.2,52,2390,0
"Jason Roy",Bowler,Overseas,1.5,14,326,61
"Adam Zampa",Bowler,Overseas,1.0,23,30,62
"Rasikh Salam",Bowler,Indian,1.5,26,86,58
"Umesh Yadav",Bowler,Indian,1.5,147,196,87
"Raj Angad Bawa",All-Rounder,Indian,1.5,47,734,25
"Dhawal Kulkarni",Bowler,Indian,0.5,112,94,82
"Wanindu Hasaranga",Bowler,Overseas,1.0,48,33,22
"Eoin Morgan",All-Rounder,Overseas,1.0,56,2250,68
"Harpreet Singh Bhatia",Batsman,Indian,0.5,10,200,0
"Nitish Rana",Batsman,Indian,0.75,124,6156,20
"Ankit Sharma",All-Rounder,Indian,2.0,22,174,24
"Shashank Singh",All-Rounder,Indian,1.0,46,1810,10
"Lendl Simmons",Batsman,Overseas,2.0,54,1733,0
"Sandeep Sharma",Bowler,Indian,0.5,143,120,302
"Dirk Nannes",Bowler,Overseas,0.5,57,151,67
"Jaydev Unadkat",Batsman,Indian,1.5,14,1408,5
"Charith Asalanka",All-Rounder,Overseas,0.5,35,935,89
"Aakash Chopra",Batsman,Indian,1.0,7,106,0
"Barinder Sran",Bowler,Indian,2.0,52,112,66
"Suryakumar Yadav",Batsman,Indian,2.0,100,2800,0
"Siddarth Kaul",Bowler,Indian,2.0,56,40,116
"Shaun Tait",Bowler,Overseas,2.0,101,159,48
"Zaheer Khan",Bowler,Indian,2.0,100,234,204
"Pat Cummins",Bowler,Overseas,2.0,50,400,55
"Swapnil Singh",All-Rounder,Indian,1.0,15,102,14
"RP Singh",Bowler,Indian,1.5,83,104,180
"Josh Inglis",Wicket-Keeper,Overseas,2.0,15,1016,0
"Hanuma Vihari",Batsman,Indian,2.0,63,2453,0
"Gurkeerat Singh Mann",All-Rounder,Indian,2.0,25,1393,89
"Prithvi Shaw",Batsman,Indian,0.5,75,1800,0
"Saurav Chauhan",Batsman,Indian,0.5,4,36,0
"Spencer Johnson",Bowler,Overseas,1.0,22,30,72
"Kuldeep Yadav",Bowler,Indian,1.0,111,420,224
"Virender Sehwag",Batsman,Indian,2.0,105,5456,12
"Rishi Dhawan",All-Rounder,Indian,1.5,38,420,50
"Dewald Brevis",Batsman,Overseas,2.0,25,1212,2
"Tabraiz Shamsi",Batsman,Overseas,1.5,6,4,6
"Akash Madhwal",Bowler,Indian,0.2,18,16,46
"Deepak Hooda",All-Rounder,Indian,1.5,107,453,31
"Anrich Nortje",Bowler,Overseas,1.0,50,98,122
"Mohammad Nabi",All-Rounder,Overseas,1.0,25,442,30
"Ambati Rayudu",Bowler,Indian,0.5,113,223,30
"Daniel Christian",All-Rounder,Overseas,1.0,86,1429,37
"Narayan Jagadeesan",Wicket-Keeper,Indian,1.5,11,324,0
"Ben Cutting",All-Rounder,Overseas,1.5,55,1994,53
"Gourav Choudhary",Batsman,Indian,0.5,10,200,0
"Yusuf Pathan",All-Rounder,Indian,1.0,99,865,46
"Michael Bracewell",All-Rounder,Overseas,1.5,13,473,39
"Jake Fraser-McGurk",Batsman,Overseas,0.5,16,770,0
"Mark Wood",Bowler,Overseas,2.0,115,287,16
"Anukul Roy",All-Rounder,Indian,0.5,104,1618,68
"Keshav Maharaj",Batsman,Overseas,2.0,109,3464,5
"Umran Malik",Bowler,Indian,0.5,27,46,58
"Shardul Thakur",All-Rounder,Indian,1.0,80,400,65
"Marco Jansen",Bowler,Overseas,0.5,48,384,90
"Wasim Jaffer",Batsman,Indian,1.0,9,260,0
"Andre Russell",All-Rounder,Overseas,2.0,110,2200,90
"Dinesh Karthik",Wicket-Keeper,Indian,0.75,250,4800,0
"Parthiv Patel",Wicket-Keeper,Indian,2.0,119,1149,0
"Chris Lynn",Batsman,Overseas,1.5,34,1930,0
"Michael Hussey",Batsman,Overseas,2.0,59,1977,0
"Dilshan Madushanka",All-Rounder,Overseas,0.5,2,0,2
"Naman Dhir",All-Rounder,Indian,1.5,34,1420,0
"Deepak Chahar",Bowler,Indian,0.5,128,351,19
"Stuart Binny",All-Rounder,Indian,1.0,50,893,65
"Rishabh Pant",Wicket-Keeper,Indian,2.0,110,3500,0
"Abhinav Mukund",Batsman,Indian,1.5,3,38,0
"G Ajitesh",Batsman,Indian,0.5,10,200,0
"Rinku Singh",Batsman,Indian,0.5,40,950,0
"Ramesh Powar",Bowler,Indian,2.0,54,42,115
"Chris Woakes",Batsman,Overseas,0.5,148,206,3
"Manoj Tiwary",Batsman,Indian,1.5,82,1053,0
"Ashok Dinda",Bowler,Indian,1.5,24,293,37
